RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720475957830	 	3.11.3
USER	Pokemon API Test	END	1720475959080
USER	Pokemon API Test	START	1720475959080
USER	Pokemon API Test	START	1720475959081
REQUEST		Get Pikachu	1720475959043	1720475959100	OK	 
USER	Pokemon API Test	END	1720475959112
USER	Pokemon API Test	START	1720475959113
REQUEST		Get Pikachu	1720475959042	1720475959103	OK	 
USER	Pokemon API Test	END	1720475959114
REQUEST		Get Pikachu	1720475959032	1720475959109	OK	 
USER	Pokemon API Test	END	1720475959116
USER	Pokemon API Test	START	1720475959117
REQUEST		Get Pikachu	1720475959031	1720475959094	OK	 
USER	Pokemon API Test	END	1720475959118
USER	Pokemon API Test	START	1720475959118
REQUEST		Get Pikachu	1720475959081	1720475959120	OK	 
USER	Pokemon API Test	END	1720475959123
USER	Pokemon API Test	START	1720475959124
REQUEST		Get Pikachu	1720475959043	1720475959119	OK	 
USER	Pokemon API Test	END	1720475959127
USER	Pokemon API Test	START	1720475959126
REQUEST		Get Pikachu	1720475959061	1720475959125	OK	 
USER	Pokemon API Test	END	1720475959143
USER	Pokemon API Test	START	1720475959144
USER	Pokemon API Test	START	1720475959144
REQUEST		Get Pikachu	1720475959081	1720475959141	OK	 
USER	Pokemon API Test	END	1720475959149
USER	Pokemon API Test	START	1720475959149
USER	Pokemon API Test	START	1720475959180
REQUEST		Get Pikachu	1720475959115	1720475959182	OK	 
USER	Pokemon API Test	END	1720475959194
USER	Pokemon API Test	START	1720475959195
REQUEST		Get Pikachu	1720475959118	1720475959185	OK	 
USER	Pokemon API Test	END	1720475959204
USER	Pokemon API Test	START	1720475959206
REQUEST		Get Pikachu	1720475959155	1720475959207	OK	 
USER	Pokemon API Test	END	1720475959212
USER	Pokemon API Test	START	1720475959213
REQUEST		Get Pikachu	1720475959150	1720475959203	OK	 
USER	Pokemon API Test	END	1720475959218
REQUEST		Get Pikachu	1720475959144	1720475959211	OK	 
USER	Pokemon API Test	END	1720475959221
REQUEST		Get Pikachu	1720475959125	1720475959192	OK	 
USER	Pokemon API Test	END	1720475959222
USER	Pokemon API Test	START	1720475959223
USER	Pokemon API Test	START	1720475959225
REQUEST		Get Pikachu	1720475959143	1720475959213	OK	 
USER	Pokemon API Test	END	1720475959229
USER	Pokemon API Test	START	1720475959230
USER	Pokemon API Test	START	1720475959231
REQUEST		Get Pikachu	1720475959150	1720475959236	OK	 
USER	Pokemon API Test	END	1720475959245
USER	Pokemon API Test	START	1720475959247
REQUEST		Get Pikachu	1720475959195	1720475959253	OK	 
USER	Pokemon API Test	END	1720475959256
USER	Pokemon API Test	START	1720475959256
REQUEST		Get Pikachu	1720475959181	1720475959245	OK	 
USER	Pokemon API Test	END	1720475959265
USER	Pokemon API Test	START	1720475959266
REQUEST		Get Pikachu	1720475959212	1720475959269	OK	 
USER	Pokemon API Test	END	1720475959277
USER	Pokemon API Test	START	1720475959277
USER	Pokemon API Test	START	1720475959280
REQUEST		Get Pikachu	1720475959231	1720475959296	OK	 
USER	Pokemon API Test	END	1720475959298
USER	Pokemon API Test	START	1720475959298
REQUEST		Get Pikachu	1720475959231	1720475959292	OK	 
USER	Pokemon API Test	END	1720475959308
USER	Pokemon API Test	START	1720475959308
REQUEST		Get Pikachu	1720475959257	1720475959305	OK	 
USER	Pokemon API Test	END	1720475959329
REQUEST		Get Pikachu	1720475959227	1720475959308	OK	 
REQUEST		Get Pikachu	1720475959226	1720475959331	OK	 
USER	Pokemon API Test	END	1720475959414
USER	Pokemon API Test	START	1720475959414
USER	Pokemon API Test	END	1720475959414
USER	Pokemon API Test	START	1720475959415
REQUEST		Get Pikachu	1720475959247	1720475959336	OK	 
USER	Pokemon API Test	END	1720475959418
USER	Pokemon API Test	START	1720475959418
USER	Pokemon API Test	START	1720475959418
REQUEST		Get Pikachu	1720475959266	1720475959418	OK	 
USER	Pokemon API Test	END	1720475959435
USER	Pokemon API Test	START	1720475959439
REQUEST		Get Pikachu	1720475959213	1720475959426	OK	 
USER	Pokemon API Test	END	1720475959453
REQUEST		Get Pikachu	1720475959416	1720475959454	OK	 
USER	Pokemon API Test	END	1720475959456
REQUEST		Get Pikachu	1720475959298	1720475959440	OK	 
USER	Pokemon API Test	START	1720475959467
USER	Pokemon API Test	END	1720475959467
REQUEST		Get Pikachu	1720475959280	1720475959446	OK	 
USER	Pokemon API Test	START	1720475959469
USER	Pokemon API Test	END	1720475959471
USER	Pokemon API Test	START	1720475959471
REQUEST		Get Pikachu	1720475959421	1720475959475	OK	 
USER	Pokemon API Test	END	1720475959486
USER	Pokemon API Test	START	1720475959487
REQUEST		Get Pikachu	1720475959441	1720475959481	OK	 
REQUEST		Get Pikachu	1720475959278	1720475959463	OK	 
USER	Pokemon API Test	END	1720475959490
USER	Pokemon API Test	START	1720475959491
USER	Pokemon API Test	START	1720475959491
USER	Pokemon API Test	END	1720475959497
REQUEST		Get Pikachu	1720475959439	1720475959498	OK	 
USER	Pokemon API Test	END	1720475959512
USER	Pokemon API Test	START	1720475959513
REQUEST		Get Pikachu	1720475959309	1720475959494	OK	 
REQUEST		Get Pikachu	1720475959419	1720475959481	OK	 
USER	Pokemon API Test	END	1720475959591
USER	Pokemon API Test	END	1720475959591
USER	Pokemon API Test	START	1720475959595
USER	Pokemon API Test	START	1720475959597
USER	Pokemon API Test	START	1720475959602
REQUEST		Get Pikachu	1720475959472	1720475959605	OK	 
REQUEST		Get Pikachu	1720475959476	1720475959611	OK	 
USER	Pokemon API Test	END	1720475959616
USER	Pokemon API Test	START	1720475959616
USER	Pokemon API Test	END	1720475959617
USER	Pokemon API Test	START	1720475959618
REQUEST		Get Pikachu	1720475959513	1720475959622	OK	 
USER	Pokemon API Test	END	1720475959624
REQUEST		Get Pikachu	1720475959487	1720475959624	OK	 
USER	Pokemon API Test	END	1720475959629
USER	Pokemon API Test	START	1720475959629
REQUEST		Get Pikachu	1720475959477	1720475959631	OK	 
USER	Pokemon API Test	END	1720475959633
USER	Pokemon API Test	START	1720475959633
REQUEST		Get Pikachu	1720475959491	1720475959633	OK	 
USER	Pokemon API Test	END	1720475959638
USER	Pokemon API Test	START	1720475959638
USER	Pokemon API Test	START	1720475959638
REQUEST		Get Pikachu	1720475959497	1720475959646	OK	 
USER	Pokemon API Test	END	1720475959656
USER	Pokemon API Test	START	1720475959656
REQUEST		Get Pikachu	1720475959597	1720475959655	OK	 
USER	Pokemon API Test	END	1720475959676
REQUEST		Get Pikachu	1720475959617	1720475959694	OK	 
REQUEST		Get Pikachu	1720475959630	1720475959720	OK	 
USER	Pokemon API Test	END	1720475959722
USER	Pokemon API Test	START	1720475959723
USER	Pokemon API Test	END	1720475959723
USER	Pokemon API Test	START	1720475959727
REQUEST		Get Pikachu	1720475959639	1720475959723	OK	 
REQUEST		Get Pikachu	1720475959618	1720475959725	OK	 
USER	Pokemon API Test	END	1720475959730
USER	Pokemon API Test	END	1720475959730
USER	Pokemon API Test	START	1720475959731
USER	Pokemon API Test	START	1720475959731
REQUEST		Get Pikachu	1720475959603	1720475959731	OK	 
USER	Pokemon API Test	END	1720475959740
REQUEST		Get Pikachu	1720475959639	1720475959741	OK	 
REQUEST		Get Pikachu	1720475959630	1720475959740	OK	 
USER	Pokemon API Test	END	1720475959746
USER	Pokemon API Test	START	1720475959747
REQUEST		Get Pikachu	1720475959633	1720475959746	OK	 
USER	Pokemon API Test	END	1720475959751
USER	Pokemon API Test	START	1720475959751
USER	Pokemon API Test	END	1720475959752
USER	Pokemon API Test	START	1720475959752
USER	Pokemon API Test	START	1720475959753
USER	Pokemon API Test	START	1720475959755
REQUEST		Get Pikachu	1720475959657	1720475959766	OK	 
USER	Pokemon API Test	END	1720475959768
USER	Pokemon API Test	START	1720475959769
REQUEST		Get Pikachu	1720475959724	1720475959775	OK	 
USER	Pokemon API Test	END	1720475959787
REQUEST		Get Pikachu	1720475959728	1720475959782	OK	 
USER	Pokemon API Test	END	1720475959788
USER	Pokemon API Test	START	1720475959789
REQUEST		Get Pikachu	1720475959747	1720475959788	OK	 
USER	Pokemon API Test	END	1720475959789
USER	Pokemon API Test	START	1720475959790
REQUEST		Get Pikachu	1720475959732	1720475959826	OK	 
REQUEST		Get Pikachu	1720475959770	1720475959833	OK	 
USER	Pokemon API Test	END	1720475959834
USER	Pokemon API Test	START	1720475959836
USER	Pokemon API Test	END	1720475959839
USER	Pokemon API Test	START	1720475959839
USER	Pokemon API Test	START	1720475959840
REQUEST		Get Pikachu	1720475959754	1720475959839	OK	 
REQUEST		Get Pikachu	1720475959755	1720475959878	OK	 
USER	Pokemon API Test	END	1720475959884
USER	Pokemon API Test	END	1720475959884
REQUEST		Get Pikachu	1720475959731	1720475959879	OK	 
USER	Pokemon API Test	END	1720475959888
USER	Pokemon API Test	START	1720475959888
USER	Pokemon API Test	START	1720475959888
REQUEST		Get Pikachu	1720475959754	1720475959871	OK	 
USER	Pokemon API Test	END	1720475959891
USER	Pokemon API Test	START	1720475959892
REQUEST		Get Pikachu	1720475959754	1720475959873	OK	 
USER	Pokemon API Test	END	1720475959895
USER	Pokemon API Test	START	1720475959896
REQUEST		Get Pikachu	1720475959805	1720475959885	OK	 
USER	Pokemon API Test	END	1720475959898
USER	Pokemon API Test	START	1720475959899
USER	Pokemon API Test	START	1720475959899
REQUEST		Get Pikachu	1720475959840	1720475959907	OK	 
USER	Pokemon API Test	END	1720475959910
USER	Pokemon API Test	START	1720475959910
REQUEST		Get Pikachu	1720475959899	1720475959939	OK	 
USER	Pokemon API Test	END	1720475959941
USER	Pokemon API Test	START	1720475959941
REQUEST		Get Pikachu	1720475959889	1720475959942	OK	 
REQUEST		Get Pikachu	1720475959889	1720475959933	OK	 
USER	Pokemon API Test	END	1720475959970
USER	Pokemon API Test	END	1720475959971
USER	Pokemon API Test	START	1720475959971
REQUEST		Get Pikachu	1720475959837	1720475959946	OK	 
USER	Pokemon API Test	END	1720475959973
REQUEST		Get Pikachu	1720475959896	1720475959972	OK	 
REQUEST		Get Pikachu	1720475959900	1720475959972	OK	 
USER	Pokemon API Test	END	1720475959977
REQUEST		Get Pikachu	1720475959801	1720475959965	OK	 
USER	Pokemon API Test	END	1720475959978
USER	Pokemon API Test	START	1720475959978
REQUEST		Get Pikachu	1720475959840	1720475959975	OK	 
USER	Pokemon API Test	END	1720475959979
USER	Pokemon API Test	START	1720475959979
USER	Pokemon API Test	START	1720475959979
USER	Pokemon API Test	START	1720475959980
USER	Pokemon API Test	END	1720475959982
USER	Pokemon API Test	START	1720475959982
USER	Pokemon API Test	START	1720475959982
REQUEST		Get Pikachu	1720475959892	1720475959991	OK	 
USER	Pokemon API Test	END	1720475960018
USER	Pokemon API Test	START	1720475960019
REQUEST		Get Pikachu	1720475959911	1720475960000	OK	 
USER	Pokemon API Test	END	1720475960020
USER	Pokemon API Test	START	1720475960021
REQUEST		Get Pikachu	1720475959944	1720475960029	OK	 
USER	Pokemon API Test	END	1720475960034
REQUEST		Get Pikachu	1720475959976	1720475960024	OK	 
USER	Pokemon API Test	END	1720475960036
USER	Pokemon API Test	START	1720475960037
USER	Pokemon API Test	START	1720475960039
REQUEST		Get Pikachu	1720475959980	1720475960039	OK	 
USER	Pokemon API Test	END	1720475960040
USER	Pokemon API Test	START	1720475960040
REQUEST		Get Pikachu	1720475959980	1720475960035	OK	 
USER	Pokemon API Test	END	1720475960052
USER	Pokemon API Test	START	1720475960052
REQUEST		Get Pikachu	1720475959982	1720475960046	OK	 
USER	Pokemon API Test	END	1720475960053
REQUEST		Get Pikachu	1720475959981	1720475960040	OK	 
USER	Pokemon API Test	END	1720475960054
USER	Pokemon API Test	START	1720475960054
USER	Pokemon API Test	START	1720475960055
REQUEST		Get Pikachu	1720475959983	1720475960055	OK	 
USER	Pokemon API Test	END	1720475960056
USER	Pokemon API Test	START	1720475960057
REQUEST		Get Pikachu	1720475960022	1720475960069	OK	 
USER	Pokemon API Test	END	1720475960073
USER	Pokemon API Test	START	1720475960073
REQUEST		Get Pikachu	1720475960041	1720475960077	OK	 
USER	Pokemon API Test	END	1720475960079
USER	Pokemon API Test	START	1720475960079
REQUEST		Get Pikachu	1720475960019	1720475960086	OK	 
USER	Pokemon API Test	END	1720475960111
REQUEST		Get Pikachu	1720475959979	1720475960111	OK	 
REQUEST		Get Pikachu	1720475960075	1720475960124	OK	 
USER	Pokemon API Test	START	1720475960129
REQUEST		Get Pikachu	1720475960040	1720475960126	OK	 
REQUEST		Get Pikachu	1720475960053	1720475960120	OK	 
USER	Pokemon API Test	END	1720475960139
USER	Pokemon API Test	END	1720475960139
USER	Pokemon API Test	END	1720475960139
USER	Pokemon API Test	END	1720475960139
REQUEST		Get Pikachu	1720475960058	1720475960135	OK	 
USER	Pokemon API Test	START	1720475960155
USER	Pokemon API Test	END	1720475960164
USER	Pokemon API Test	START	1720475960164
USER	Pokemon API Test	START	1720475960165
REQUEST		Get Pikachu	1720475960056	1720475960164	OK	 
REQUEST		Get Pikachu	1720475960037	1720475960171	OK	 
USER	Pokemon API Test	START	1720475960178
REQUEST		Get Pikachu	1720475960080	1720475960177	OK	 
USER	Pokemon API Test	END	1720475960182
USER	Pokemon API Test	START	1720475960182
REQUEST		Get Pikachu	1720475960055	1720475960178	OK	 
USER	Pokemon API Test	END	1720475960185
USER	Pokemon API Test	END	1720475960186
USER	Pokemon API Test	START	1720475960186
USER	Pokemon API Test	START	1720475960186
USER	Pokemon API Test	END	1720475960186
USER	Pokemon API Test	START	1720475960186
USER	Pokemon API Test	START	1720475960188
REQUEST		Get Pikachu	1720475960178	1720475960212	OK	 
USER	Pokemon API Test	END	1720475960214
USER	Pokemon API Test	START	1720475960214
REQUEST		Get Pikachu	1720475960189	1720475960254	OK	 
USER	Pokemon API Test	END	1720475960258
REQUEST		Get Pikachu	1720475960177	1720475960242	OK	 
REQUEST		Get Pikachu	1720475960185	1720475960253	OK	 
REQUEST		Get Pikachu	1720475960165	1720475960247	OK	 
USER	Pokemon API Test	START	1720475960263
REQUEST		Get Pikachu	1720475960186	1720475960264	OK	 
USER	Pokemon API Test	END	1720475960269
USER	Pokemon API Test	START	1720475960269
REQUEST		Get Pikachu	1720475960187	1720475960265	OK	 
USER	Pokemon API Test	END	1720475960270
USER	Pokemon API Test	START	1720475960270
USER	Pokemon API Test	END	1720475960270
USER	Pokemon API Test	END	1720475960275
USER	Pokemon API Test	START	1720475960275
USER	Pokemon API Test	END	1720475960276
USER	Pokemon API Test	START	1720475960277
REQUEST		Get Pikachu	1720475960187	1720475960271	OK	 
USER	Pokemon API Test	END	1720475960279
USER	Pokemon API Test	START	1720475960279
REQUEST		Get Pikachu	1720475960178	1720475960276	OK	 
USER	Pokemon API Test	END	1720475960284
USER	Pokemon API Test	START	1720475960284
REQUEST		Get Pikachu	1720475960129	1720475960265	OK	 
USER	Pokemon API Test	END	1720475960292
USER	Pokemon API Test	START	1720475960293
USER	Pokemon API Test	START	1720475960296
REQUEST		Get Pikachu	1720475960275	1720475960316	OK	 
USER	Pokemon API Test	END	1720475960318
USER	Pokemon API Test	START	1720475960319
REQUEST		Get Pikachu	1720475960214	1720475960312	OK	 
USER	Pokemon API Test	END	1720475960320
USER	Pokemon API Test	START	1720475960320
REQUEST		Get Pikachu	1720475960270	1720475960325	OK	 
USER	Pokemon API Test	END	1720475960330
REQUEST		Get Pikachu	1720475960278	1720475960328	OK	 
REQUEST		Get Pikachu	1720475960264	1720475960322	OK	 
USER	Pokemon API Test	END	1720475960335
USER	Pokemon API Test	START	1720475960336
USER	Pokemon API Test	END	1720475960336
USER	Pokemon API Test	START	1720475960336
USER	Pokemon API Test	START	1720475960341
REQUEST		Get Pikachu	1720475960285	1720475960363	OK	 
REQUEST		Get Pikachu	1720475960277	1720475960368	OK	 
USER	Pokemon API Test	END	1720475960373
REQUEST		Get Pikachu	1720475960293	1720475960375	OK	 
USER	Pokemon API Test	END	1720475960376
USER	Pokemon API Test	START	1720475960377
USER	Pokemon API Test	END	1720475960380
USER	Pokemon API Test	START	1720475960383
REQUEST		Get Pikachu	1720475960280	1720475960377	OK	 
USER	Pokemon API Test	END	1720475960386
REQUEST		Get Pikachu	1720475960297	1720475960380	OK	 
USER	Pokemon API Test	END	1720475960387
USER	Pokemon API Test	START	1720475960387
USER	Pokemon API Test	START	1720475960386
USER	Pokemon API Test	START	1720475960388
REQUEST		Get Pikachu	1720475960337	1720475960393	OK	 
REQUEST		Get Pikachu	1720475960320	1720475960396	OK	 
USER	Pokemon API Test	END	1720475960410
USER	Pokemon API Test	END	1720475960410
USER	Pokemon API Test	START	1720475960411
USER	Pokemon API Test	START	1720475960411
REQUEST		Get Pikachu	1720475960320	1720475960425	OK	 
USER	Pokemon API Test	END	1720475960434
USER	Pokemon API Test	START	1720475960444
REQUEST		Get Pikachu	1720475960385	1720475960453	OK	 
REQUEST		Get Pikachu	1720475960342	1720475960459	OK	 
USER	Pokemon API Test	END	1720475960463
USER	Pokemon API Test	END	1720475960463
USER	Pokemon API Test	START	1720475960464
REQUEST		Get Pikachu	1720475960388	1720475960470	OK	 
USER	Pokemon API Test	END	1720475960471
USER	Pokemon API Test	START	1720475960471
REQUEST		Get Pikachu	1720475960388	1720475960461	OK	 
REQUEST		Get Pikachu	1720475960412	1720475960477	OK	 
USER	Pokemon API Test	END	1720475960482
REQUEST		Get Pikachu	1720475960377	1720475960467	OK	 
USER	Pokemon API Test	END	1720475960489
USER	Pokemon API Test	START	1720475960489
USER	Pokemon API Test	START	1720475960494
USER	Pokemon API Test	END	1720475960494
REQUEST		Get Pikachu	1720475960388	1720475960482	OK	 
USER	Pokemon API Test	START	1720475960495
USER	Pokemon API Test	START	1720475960495
USER	Pokemon API Test	END	1720475960496
USER	Pokemon API Test	START	1720475960496
REQUEST		Get Pikachu	1720475960412	1720475960500	OK	 
USER	Pokemon API Test	END	1720475960506
USER	Pokemon API Test	START	1720475960506
REQUEST		Get Pikachu	1720475960445	1720475960515	OK	 
USER	Pokemon API Test	END	1720475960520
USER	Pokemon API Test	START	1720475960520
REQUEST		Get Pikachu	1720475960489	1720475960528	OK	 
USER	Pokemon API Test	END	1720475960530
USER	Pokemon API Test	START	1720475960530
REQUEST		Get Pikachu	1720475960472	1720475960524	OK	 
USER	Pokemon API Test	END	1720475960532
REQUEST		Get Pikachu	1720475960496	1720475960531	OK	 
USER	Pokemon API Test	END	1720475960532
USER	Pokemon API Test	START	1720475960532
USER	Pokemon API Test	START	1720475960532
REQUEST		Get Pikachu	1720475960507	1720475960557	OK	 
REQUEST		Get Pikachu	1720475960489	1720475960558	OK	 
USER	Pokemon API Test	END	1720475960561
REQUEST		Get Pikachu	1720475960497	1720475960550	OK	 
USER	Pokemon API Test	END	1720475960565
REQUEST		Get Pikachu	1720475960495	1720475960554	OK	 
USER	Pokemon API Test	END	1720475960567
USER	Pokemon API Test	START	1720475960567
USER	Pokemon API Test	END	1720475960569
USER	Pokemon API Test	START	1720475960568
USER	Pokemon API Test	START	1720475960569
REQUEST		Get Pikachu	1720475960496	1720475960560	OK	 
USER	Pokemon API Test	END	1720475960569
USER	Pokemon API Test	START	1720475960570
USER	Pokemon API Test	START	1720475960571
REQUEST		Get Pikachu	1720475960532	1720475960593	OK	 
USER	Pokemon API Test	END	1720475960594
REQUEST		Get Pikachu	1720475960531	1720475960595	OK	 
REQUEST		Get Pikachu	1720475960532	1720475960597	OK	 
USER	Pokemon API Test	END	1720475960601
USER	Pokemon API Test	START	1720475960602
REQUEST		Get Pikachu	1720475960520	1720475960600	OK	 
USER	Pokemon API Test	END	1720475960605
USER	Pokemon API Test	END	1720475960605
USER	Pokemon API Test	START	1720475960606
USER	Pokemon API Test	START	1720475960606
USER	Pokemon API Test	START	1720475960607
REQUEST		Get Pikachu	1720475960571	1720475960616	OK	 
USER	Pokemon API Test	END	1720475960618
USER	Pokemon API Test	START	1720475960618
REQUEST		Get Pikachu	1720475960569	1720475960627	OK	 
REQUEST		Get Pikachu	1720475960571	1720475960631	OK	 
USER	Pokemon API Test	END	1720475960639
REQUEST		Get Pikachu	1720475960568	1720475960635	OK	 
USER	Pokemon API Test	END	1720475960641
USER	Pokemon API Test	START	1720475960645
USER	Pokemon API Test	START	1720475960645
USER	Pokemon API Test	END	1720475960645
REQUEST		Get Pikachu	1720475960569	1720475960647	OK	 
REQUEST		Get Pikachu	1720475960607	1720475960655	OK	 
REQUEST		Get Pikachu	1720475960606	1720475960657	OK	 
USER	Pokemon API Test	END	1720475960667
USER	Pokemon API Test	END	1720475960667
USER	Pokemon API Test	END	1720475960667
USER	Pokemon API Test	START	1720475960667
USER	Pokemon API Test	START	1720475960668
REQUEST		Get Pikachu	1720475960606	1720475960664	OK	 
USER	Pokemon API Test	START	1720475960671
USER	Pokemon API Test	END	1720475960672
USER	Pokemon API Test	START	1720475960672
USER	Pokemon API Test	START	1720475960674
REQUEST		Get Pikachu	1720475960618	1720475960673	OK	 
USER	Pokemon API Test	END	1720475960679
REQUEST		Get Pikachu	1720475960602	1720475960681	OK	 
USER	Pokemon API Test	END	1720475960691
USER	Pokemon API Test	START	1720475960691
USER	Pokemon API Test	START	1720475960696
REQUEST		Get Pikachu	1720475960646	1720475960703	OK	 
REQUEST		Get Pikachu	1720475960645	1720475960710	OK	 
USER	Pokemon API Test	END	1720475960717
USER	Pokemon API Test	END	1720475960719
USER	Pokemon API Test	START	1720475960719
REQUEST		Get Pikachu	1720475960669	1720475960721	OK	 
USER	Pokemon API Test	END	1720475960722
USER	Pokemon API Test	START	1720475960727
REQUEST		Get Pikachu	1720475960696	1720475960731	OK	 
USER	Pokemon API Test	START	1720475960732
REQUEST		Get Pikachu	1720475960668	1720475960729	OK	 
REQUEST		Get Pikachu	1720475960674	1720475960738	OK	 
USER	Pokemon API Test	END	1720475960744
USER	Pokemon API Test	END	1720475960744
USER	Pokemon API Test	END	1720475960744
USER	Pokemon API Test	START	1720475960744
USER	Pokemon API Test	START	1720475960745
USER	Pokemon API Test	START	1720475960748
REQUEST		Get Pikachu	1720475960673	1720475960748	OK	 
USER	Pokemon API Test	END	1720475960753
USER	Pokemon API Test	START	1720475960754
REQUEST		Get Pikachu	1720475960336	1720475960754	OK	 
USER	Pokemon API Test	END	1720475960759
USER	Pokemon API Test	START	1720475960759
REQUEST		Get Pikachu	1720475960671	1720475960745	OK	 
USER	Pokemon API Test	END	1720475960762
USER	Pokemon API Test	START	1720475960762
REQUEST		Get Pikachu	1720475960731	1720475960796	OK	 
USER	Pokemon API Test	END	1720475960801
REQUEST		Get Pikachu	1720475960692	1720475960792	OK	 
USER	Pokemon API Test	END	1720475960806
USER	Pokemon API Test	START	1720475960806
REQUEST		Get Pikachu	1720475960762	1720475960808	OK	 
REQUEST		Get Pikachu	1720475960728	1720475960800	OK	 
USER	Pokemon API Test	END	1720475960812
USER	Pokemon API Test	END	1720475960812
USER	Pokemon API Test	START	1720475960812
USER	Pokemon API Test	START	1720475960814
REQUEST		Get Pikachu	1720475960753	1720475960810	OK	 
USER	Pokemon API Test	START	1720475960822
REQUEST		Get Pikachu	1720475960764	1720475960822	OK	 
USER	Pokemon API Test	END	1720475960827
USER	Pokemon API Test	START	1720475960829
REQUEST		Get Pikachu	1720475960763	1720475960828	OK	 
USER	Pokemon API Test	END	1720475960833
USER	Pokemon API Test	START	1720475960833
REQUEST		Get Pikachu	1720475960763	1720475960830	OK	 
USER	Pokemon API Test	END	1720475960833
REQUEST		Get Pikachu	1720475960737	1720475960823	OK	 
USER	Pokemon API Test	END	1720475960837
USER	Pokemon API Test	START	1720475960838
USER	Pokemon API Test	END	1720475960839
USER	Pokemon API Test	START	1720475960839
USER	Pokemon API Test	START	1720475960839
REQUEST		Get Pikachu	1720475960812	1720475960869	OK	 
REQUEST		Get Pikachu	1720475960755	1720475960870	OK	 
REQUEST		Get Pikachu	1720475960807	1720475960875	OK	 
REQUEST		Get Pikachu	1720475960833	1720475960877	OK	 
USER	Pokemon API Test	END	1720475960879
USER	Pokemon API Test	END	1720475960879
USER	Pokemon API Test	END	1720475960883
USER	Pokemon API Test	START	1720475960883
USER	Pokemon API Test	START	1720475960883
USER	Pokemon API Test	START	1720475960883
USER	Pokemon API Test	END	1720475960884
USER	Pokemon API Test	START	1720475960884
REQUEST		Get Pikachu	1720475960828	1720475960888	OK	 
USER	Pokemon API Test	END	1720475960894
USER	Pokemon API Test	START	1720475960894
REQUEST		Get Pikachu	1720475960830	1720475960895	OK	 
USER	Pokemon API Test	END	1720475960901
USER	Pokemon API Test	START	1720475960904
REQUEST		Get Pikachu	1720475960834	1720475960899	OK	 
USER	Pokemon API Test	END	1720475960905
REQUEST		Get Pikachu	1720475960838	1720475960902	OK	 
USER	Pokemon API Test	END	1720475960909
USER	Pokemon API Test	START	1720475960909
REQUEST		Get Pikachu	1720475960840	1720475960915	OK	 
